"","species","genus","year","height_final","density","dbh","AG_biomass_MgC","date","ABG_biomass_MgC","BG_biomass_MgC"
"933","gabonensis","Irvingia","2015",NA,0.6606522,NA,NA,2015-06-03,NA,NA
"934","gabonensis","Irvingia","2015",NA,0.6606522,NA,NA,2015-06-03,NA,NA
"935","gabonensis","Irvingia","2015",6.7096290299684,0.6606522,52,0.00278202294051342,2015-06-03,0.00336624775802124,0.000584224817507819
"936","gabonensis","Irvingia","2015",5.87001861028988,0.6606522,39,0.00136906542503268,2015-06-03,0.00165656916428954,0.000287503739256862
"937","gabonensis","Irvingia","2015",7.9544970360173,0.6606522,75,0.00686105280283403,2015-06-03,0.00830187389142918,0.00144082108859515
"938","gabonensis","Irvingia","2015",5.07385628334521,0.6606522,28.5,0.000631950980866259,2015-06-03,0.000764660686848173,0.000132709705981914
"939","gabonensis","Irvingia","2015",4.90517055810377,0.6606522,26.5,0.000528203617577793,2015-06-03,0.000639126377269129,0.000110922759691336
"940","gabonensis","Irvingia","2015",5.76400150268945,0.6606522,37.5,0.00124291700928736,2015-06-03,0.0015039295812377,0.000261012571950345
"941","gabonensis","Irvingia","2015",4.49878848674672,0.6606522,22,0.000333884645345585,2015-06-03,0.000404000420868157,7.01157755225727e-05
"942","gabonensis","Irvingia","2015",6.40170459454514,0.6606522,47,0.00216843723578348,2015-06-03,0.00262380905529802,0.000455371819514532
"943","gabonensis","Irvingia","2015",5.58213294442463,0.6606522,35,0.00104855635013073,2015-06-03,0.00126875318365819,0.000220196833527454
"944","gabonensis","Irvingia","2015",6.46464317307841,0.6606522,48,0.00228392870861383,2015-06-03,0.00276355373742274,0.000479625028808904
"945","gabonensis","Irvingia","2015",5.6190496677433,0.6606522,35.5,0.00108586313117979,2015-06-03,0.00131389438872754,0.000228031257547755
"946","gabonensis","Irvingia","2015",4.54601612035086,0.6606522,22.5,0.000352899886098779,2015-06-03,0.000427008862179523,7.41089760807436e-05
"947","gabonensis","Irvingia","2015",7.60043846112168,0.6606522,68,0.00538904714493845,2015-06-03,0.00652074704537553,0.00113169990043707
"948","gabonensis","Irvingia","2015",8.40779410514318,0.6606522,84.5,0.00920557660444043,2015-06-03,0.0111387476913729,0.00193317108693249
"949","gabonensis","Irvingia","2015",6.73953267992467,0.6606522,52.5,0.00284841917638137,2015-06-03,0.00344658720342146,0.000598168027040088
"950","gabonensis","Irvingia","2015",4.45098271327779,0.6606522,21.5,0.000315491990362819,2015-06-03,0.000381745308339011,6.6253317976192e-05
"951","gabonensis","Irvingia","2015",4.77413260057603,0.6606522,25,0.000457540987499398,2015-06-03,0.000553624594874271,9.60836073748735e-05
"952","gabonensis","Irvingia","2015",4.72952183303222,0.6606522,24.5,0.000435316284695424,2015-06-03,0.000526732704481463,9.1416419786039e-05
"953","gabonensis","Irvingia","2015",6.17557944413344,0.6606522,43.5,0.00179189161576981,2015-06-03,0.00216818885508147,0.000376297239311659
"954","gabonensis","Irvingia","2015",4.63881433805992,0.6606522,23.5,0.000392824192056075,2015-06-03,0.000475317272387851,8.24930803317758e-05
"955","gabonensis","Irvingia","2015",4.45098271327779,0.6606522,21.5,0.000315491990362819,2015-06-03,0.000381745308339011,6.6253317976192e-05
"956","gabonensis","Irvingia","2015",6.6189828933411,0.6606522,50.5,0.00258838888041803,2015-06-03,0.00313195054530582,0.000543561664887786
"957","gabonensis","Irvingia","2015",4.30388238166584,0.6606522,20,0.000263982961143701,2015-06-03,0.000319419382983878,5.54364218401771e-05
"958","gabonensis","Irvingia","2015",4.54601612035086,0.6606522,22.5,0.000352899886098779,2015-06-03,0.000427008862179523,7.41089760807436e-05
"959","gabonensis","Irvingia","2015",7.11519300358715,0.6606522,59,0.00379792355437764,2015-06-03,0.00459548750079694,0.000797563946419303
"960","gabonensis","Irvingia","2015",7.41607570679133,0.6606522,64.5,0.00473095802100868,2015-06-03,0.0057244592054205,0.000993501184411822
"961","gabonensis","Irvingia","2015",4.77413260057603,0.6606522,25,0.000457540987499398,2015-06-03,0.000553624594874271,9.60836073748735e-05
"962","gabonensis","Irvingia","2015",5.35445101970989,0.6606522,32,0.000840756855774752,2015-06-03,0.00101731579548745,0.000176558939712698
"963","gabonensis","Irvingia","2015",6.2084646693444,0.6606522,44,0.00184308378166377,2015-06-03,0.00223013137581317,0.000387047594149392
"964","gabonensis","Irvingia","2015",5.35445101970989,0.6606522,32,0.000840756855774752,2015-06-03,0.00101731579548745,0.000176558939712698
"965","gabonensis","Irvingia","2015",6.40170459454514,0.6606522,47,0.00216843723578348,2015-06-03,0.00262380905529802,0.000455371819514532
"966","gabonensis","Irvingia","2015",4.54601612035086,0.6606522,22.5,0.000352899886098779,2015-06-03,0.000427008862179523,7.41089760807436e-05
"967","gabonensis","Irvingia","2015",7.80502262536217,0.6606522,72,0.00620432686358962,2015-06-03,0.00750723550494344,0.00130290864135382
"968","gabonensis","Irvingia","2015",6.24115045698369,0.6606522,44.5,0.00189513514171948,2015-06-03,0.00229311352148058,0.000397978379761092
"969","gabonensis","Irvingia","2015",6.76928426326574,0.6606522,53,0.0029157481020612,2015-06-03,0.00352805520349405,0.000612307101432852
"970","gabonensis","Irvingia","2015",4.30388238166584,0.6606522,20,0.000263982961143701,2015-06-03,0.000319419382983878,5.54364218401771e-05
"971","gabonensis","Irvingia","2015",5.79958866790363,0.6606522,38,0.0012841622422887,2015-06-03,0.00155383631316932,0.000269674070880626
"972","gabonensis","Irvingia","2015",4.45098271327779,0.6606522,21.5,0.000315491990362819,2015-06-03,0.000381745308339011,6.6253317976192e-05
"973","gabonensis","Irvingia","2015",7.28108621194483,0.6606522,62,0.00429175639463578,2015-06-03,0.0051930252375093,0.000901268842873514
"974","gabonensis","Irvingia","2015",NA,0.6606522,NA,NA,2015-06-03,NA,NA
"975","gabonensis","Irvingia","2015",5.1150290536753,0.6606522,29,0.000659628803246718,2015-06-03,0.000798150851928529,0.000138522048681811
"976","gabonensis","Irvingia","2015",8.68013240778211,0.6606522,90.5,0.0109013182617282,2015-06-03,0.0131905950966912,0.00228927683496293
"977","gabonensis","Irvingia","2015",6.94471985660115,0.6606522,56,0.00333953728005449,2015-06-03,0.00404084010886593,0.000701302828811442
"978","gabonensis","Irvingia","2015",5.23631652112304,0.6606522,30.5,0.00074693202406242,2015-06-03,0.000903787749115528,0.000156855725053108
"979","gabonensis","Irvingia","2015",5.31540878195008,0.6606522,31.5,0.000808748126701487,2015-06-03,0.000978585233308799,0.000169837106607312
"980","gabonensis","Irvingia","2015",8.74669451288394,0.6606522,92,0.0113520716577449,2015-06-03,0.0137360067058714,0.00238393504812643
"981","gabonensis","Irvingia","2015",4.72952183303222,0.6606522,24.5,0.000435316284695424,2015-06-03,0.000526732704481463,9.1416419786039e-05
