"","plot_code","tree_tag","dbh_year1","year1","month","day","agC_year1","year2","agC_year2","dbh_year2","AG_npp_per_tree_MgC_year","ABG_npp_per_tree_MgC_year","BG_npp_per_tree_MgC_year"
"1423","MNG-04","131",39,"2015","6","3",0.00136906542503268,"2013",0.00154865841764818,41,9.76921643884633e-05,0.000118207518910041,2.05153545215773e-05
"1424","MNG-04","132",61,"2015","6","3",0.0041231554632584,"2013",0.0041231554632584,61,0,0,0
"1425","MNG-04","133",74.5,"2015","6","3",0.00674886640423861,"2013",0.00708873149688428,76,0.000184874454270746,0.000223698089667603,3.88236353968567e-05
"1426","MNG-04","134",94,"2015","6","3",0.0119700368272153,"2013",0.0107534737379908,90,-0.000661766807104218,-0.000800737836596104,-0.000138971029491886
"1427","MNG-04","135",39.5,"2015","6","3",0.00141273312176749,"2013",0.00141273312176749,39.5,0,0,0
"1428","MNG-04","136",20.5,"2015","6","3",0.000280547890270701,"2013",0.000315491990362819,21.5,1.90083405866216e-05,2.30000921098121e-05,3.99175152319053e-06
"1429","MNG-04","137",23,"2015","6","3",0.000372544248734258,"2013",0.000372544248734258,23,0,0,0
"1430","MNG-04","138",29.5,"2015","6","3",0.000688014495932636,"2013",0.000352899886098779,22.5,-0.000182290361534065,-0.000220571337456219,-3.82809759221537e-05
"1431","MNG-04","139",74.5,"2015","6","3",0.00674886640423861,"2013",0.00631106060322246,72.5,-0.000238150696528903,-0.000288162342799973,-5.00116462710696e-05
"1432","MNG-04","140",42.5,"2015","6","3",0.00169206663411971,"2013",0.00164342463146134,42,-2.64595096427808e-05,-3.20160066677648e-05,-5.55649702498398e-06
"1433","MNG-04","141",26,"2015","6","3",0.000503978577684677,"2013",0.000528203617577793,26.5,1.31775552324699e-05,1.59448418312886e-05,2.76728659881868e-06
"1434","MNG-04","142",57,"2015","6","3",0.00348844614413329,"2013",0.0039585547195546,60,0.000255722250415468,0.000309423923002717,5.37016725872483e-05
"1435","MNG-04","143",44.5,"2015","6","3",0.00189513514171948,"2013",0.00150252484328905,40.5,-0.000213565959652917,-0.00025841481118003,-4.48488515271127e-05
"1436","MNG-04","144",26.5,"2015","6","3",0.000528203617577793,"2013",0.000503978577684677,26,-1.31775552324699e-05,-1.59448418312886e-05,-2.76728659881868e-06
"1437","MNG-04","145",51.5,"2015","6","3",0.00271655525603139,"2013",0.0026520119631525,51,-3.51092427731633e-05,-4.24821837555276e-05,-7.37294098236428e-06
"1438","MNG-04","146",NA,"2015","6","3",NA,"2013",0.000480426382445892,25.5,NA,NA,NA
"1439","MNG-04","147",23.5,"2015","6","3",0.000392824192056075,"2013",0.000392824192056075,23.5,-8.84650803928187e-20,-1.07042747275311e-19,-1.85776668824919e-20
"1440","MNG-04","148",21.5,"2015","6","3",0.000315491990362819,"2013",0.000333884645345585,22,1.00049464511318e-05,1.21059852058694e-05,2.10103875473767e-06
"1441","MNG-04","149",26,"2015","6","3",0.000503978577684677,"2013",0.000503978577684677,26,0,0,0
"1442","MNG-04","150",40,"2015","6","3",0.00145721799759896,"2013",0.00154865841764818,41,4.97403179105279e-05,6.01857846717388e-05,1.04454667612109e-05
"1443","MNG-04","151",68,"2015","6","3",0.00538904714493845,"2013",0.00491379685353864,65.5,-0.000258519160001387,-0.000312808183601678,-5.42890236002912e-05
"1444","MNG-04","152",30.5,"2015","6","3",0.00074693202406242,"2013",0.000777474999231489,31,1.66142860457683e-05,2.01032861153796e-05,3.48900006961134e-06
"1445","MNG-04","153",80,"2015","6","3",0.00804402027815123,"2013",0.00720423058893743,76.5,-0.000456815553745211,-0.000552746820031706,-9.59312662864944e-05
"1446","MNG-04","154",29.5,"2015","6","3",0.000688014495932636,"2013",0.00074693202406242,30.5,3.20490279692562e-05,3.87793238428e-05,6.7302958735438e-06
"1447","MNG-04","155",51,"2015","6","3",0.0026520119631525,"2013",0.00240299874642581,49,-0.000135454283316307,-0.000163899682812731,-2.84453994964244e-05
"1448","MNG-04","156",22.5,"2015","6","3",0.000352899886098779,"2013",0.000392824192056075,23.5,2.17173944477096e-05,2.62780472817287e-05,4.56065283401902e-06
"1449","MNG-04","157",20,"2015","6","3",0.000263982961143701,"2013",0.000263982961143701,20,0,0,0
"1450","MNG-04","158",31,"2015","6","3",0.000777474999231489,"2013",0.0008735065896426,32.5,5.22377503726609e-05,6.32076779509197e-05,1.09699275782588e-05
"1451","MNG-04","159",NA,"2015","6","3",NA,"2013",0.000840756855774752,32,NA,NA,NA
"1452","MNG-04","160",NA,"2015","6","3",NA,"2013",0.000435316284695424,24.5,NA,NA,NA
"1453","MNG-04","161",NA,"2015","6","3",NA,"2013",0.00074693202406242,30.5,NA,NA,NA
"1454","MNG-04","162",NA,"2015","6","3",NA,"2013",0.00620432686358962,72,NA,NA,NA
"1455","MNG-04","163",NA,"2015","6","3",NA,"2013",0.000372544248734258,23,NA,NA,NA
"1456","MNG-04","164",NA,"2015","6","3",NA,"2013",0.000352899886098779,22.5,NA,NA,NA
"1457","MNG-04","165",NA,"2015","6","3",NA,"2013",0.0126075637798961,96,NA,NA,NA
"1458","MNG-04","166",NA,"2015","6","3",NA,"2013",0.000503978577684677,26,NA,NA,NA
"1459","MNG-04","167",NA,"2015","6","3",NA,"2013",0.00169206663411971,42.5,NA,NA,NA
"1460","MNG-04","168",NA,"2015","6","3",NA,"2013",0.000688014495932636,29.5,NA,NA,NA
"1461","MNG-04","169",NA,"2015","6","3",NA,"2013",0.00854878249926744,82,NA,NA,NA
"1462","MNG-04","170",NA,"2015","6","3",NA,"2013",0.000263982961143701,20,NA,NA,NA
"1463","MNG-04","171",NA,"2015","6","3",NA,"2013",0.000333884645345585,22,NA,NA,NA
"1464","MNG-04","172",NA,"2015","6","3",NA,"2013",0.000659628803246718,29,NA,NA,NA
"1465","MNG-04","173",NA,"2015","6","3",NA,"2013",0.000457540987499398,25,NA,NA,NA
"1466","MNG-04","174",NA,"2015","6","3",NA,"2013",0.000659628803246718,29,NA,NA,NA
"1467","MNG-04","175",NA,"2015","6","3",NA,"2013",0.000413746100126684,24,NA,NA,NA
