plot_code,year,month,day,ingrowth_core_num,is_stock,ingrowth_core_litterfall_g,soil_humidity_pcnt,soil_temperature_c,ol_layer_depth_cm,ml_layer_depth_cm,time_step,time_step_minutes,ol_under_2mm_g,ol_above_2mm_g,ml_under_2mm_g,ml_above_2mm_g,ol_2to3_mm_g,ml_2to3_mm_g,ol_3to4_mm_g,ml_3to4_mm_g,ol_4to5_mm_g,ml_4to5_mm_g,ol_above_5mm_g,ml_above_5mm_g,total_g,quality_code,comments,id
ABC-01,2013,12,10,15,N,NA,NA,NA,20,10,2,10,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,ABC-01_2013_12_10_15_N
ABC-01,2013,12,10,15,N,NA,NA,NA,20,10,3,10,0.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068,NA,NA,ABC-01_2013_12_10_15_N
ABC-01,2013,12,10,15,N,NA,NA,NA,20,10,4,10,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018,NA,NA,ABC-01_2013_12_10_15_N
ABC-01,2013,12,10,16,N,3.54,32.4,8.3,20,10,1,10,0.03,NA,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042,NA,NA,ABC-01_2013_12_10_16_N
ABC-01,2013,12,10,16,N,NA,NA,NA,20,10,2,10,0.018,NA,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029,NA,NA,ABC-01_2013_12_10_16_N
ABC-01,2013,12,10,16,N,NA,NA,NA,20,10,3,10,0.02,NA,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.034,NA,NA,ABC-01_2013_12_10_16_N
ABC-01,2013,12,10,16,N,NA,NA,NA,20,10,4,10,0.019,NA,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021,NA,NA,ABC-01_2013_12_10_16_N
ABC-01,2013,12,10,2,N,3.22,35.3,9,20,10,1,10,0.008,NA,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032,NA,NA,ABC-01_2013_12_10_2_N
ABC-01,2013,12,10,2,N,NA,NA,NA,20,10,2,10,0.003,NA,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,NA,NA,ABC-01_2013_12_10_2_N
ABC-01,2013,12,10,2,N,NA,NA,NA,20,10,3,10,0.001,NA,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,NA,NA,ABC-01_2013_12_10_2_N
ABC-01,2013,12,10,2,N,NA,NA,NA,20,10,4,10,0.001,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,NA,NA,ABC-01_2013_12_10_2_N
ABC-01,2013,12,10,3,N,6.14,35.2,8.9,30,NA,1,10,0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046,NA,NA,ABC-01_2013_12_10_3_N
ABC-01,2013,12,10,3,N,NA,NA,NA,30,NA,2,10,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042,NA,NA,ABC-01_2013_12_10_3_N
ABC-01,2013,12,10,3,N,NA,NA,NA,30,NA,3,10,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018,NA,NA,ABC-01_2013_12_10_3_N
ABC-01,2013,12,10,3,N,NA,NA,NA,30,NA,4,10,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,ABC-01_2013_12_10_3_N
ABC-01,2013,12,10,4,N,3.7,22.4,8.7,20,10,1,10,0.024,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032,NA,NA,ABC-01_2013_12_10_4_N
ABC-01,2013,12,10,4,N,NA,NA,NA,20,10,2,10,0.001,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,NA,NA,ABC-01_2013_12_10_4_N
ABC-01,2013,12,10,4,N,NA,NA,NA,20,10,3,10,0.001,NA,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,NA,NA,ABC-01_2013_12_10_4_N
