plot_code,sub_plot,tree_tag,year,month,day,wood_density_g_m2,tree_height_year,tree_height_m,pom_height_m,baseline_dbh_year,baseline_dbh_mm,dbh_nodirection_mm,dbh_northsouth_mm,dbh_westeast_mm,dendrometer_reading_replaced_mm,status_code_intact_moved_broken,mortality_code_alive_dead,quality_code,comments,date,dendrometer_reading_mm,family,genus,species
ABC-01,8,306,2013,12,10,NA,NA,NA,1.4,NA,NA,3.12,NA,NA,NA,NA,NA,NA,NA,10/12/2013,3.12,NA,NA,NA
ABC-01,8,306,2014,3,6,NA,NA,NA,1.4,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,06/03/2014,1.8,NA,NA,NA
ABC-01,8,307,2013,9,24,NA,NA,NA,1.5,NA,NA,-1.58,NA,NA,NA,NA,NA,NA,NA,24/09/2013,-1.58,NA,NA,NA
ABC-01,8,307,2013,12,10,NA,NA,NA,1.5,NA,NA,-1.68,NA,NA,NA,NA,NA,NA,NA,10/12/2013,-1.68,NA,NA,NA
ABC-01,8,307,2014,3,6,NA,NA,NA,1.5,NA,NA,-1.16,NA,NA,NA,NA,NA,NA,NA,06/03/2014,-1.16,NA,NA,NA
ABC-01,8,310,2013,9,24,NA,NA,NA,1.4,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,24/09/2013,0.8,NA,NA,NA
ABC-01,8,310,2013,12,10,NA,NA,NA,1.4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,10/12/2013,2,NA,NA,NA
ABC-01,8,310,2014,3,6,NA,NA,NA,1.4,NA,NA,3.08,NA,NA,NA,NA,NA,NA,NA,06/03/2014,3.08,NA,NA,NA
ABC-01,9,317,2013,9,24,NA,NA,NA,1.35,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,24/09/2013,0,NA,NA,NA
ABC-01,9,317,2013,12,10,NA,NA,NA,1.35,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,10/12/2013,0,NA,NA,NA
ABC-01,9,317,2014,3,6,NA,NA,NA,1.35,NA,NA,1.62,NA,NA,NA,NA,NA,NA,NA,06/03/2014,1.62,NA,NA,NA
ABC-01,9,319,2013,9,24,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,24/09/2013,0,NA,NA,NA
ABC-01,9,319,2013,12,10,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,10/12/2013,0,NA,NA,NA
ABC-01,9,319,2014,3,6,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,06/03/2014,0,NA,NA,NA
ABC-01,9,320,2013,9,24,NA,NA,NA,1.35,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,24/09/2013,0,NA,NA,NA
ABC-01,9,320,2013,12,10,NA,NA,NA,1.35,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,10/12/2013,1.3,NA,NA,NA
ABC-01,9,320,2014,3,6,NA,NA,NA,1.35,NA,NA,2.36,NA,NA,NA,NA,NA,NA,NA,06/03/2014,2.36,NA,NA,NA
ABC-01,9,324,2013,9,24,NA,NA,NA,1.35,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,24/09/2013,0,NA,NA,NA
ABC-01,9,324,2013,12,10,NA,NA,NA,1.35,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,10/12/2013,0,NA,NA,NA
ABC-01,9,324,2014,3,6,NA,NA,NA,1.35,NA,NA,1.16,NA,NA,NA,NA,NA,NA,NA,06/03/2014,1.16,NA,NA,NA
ABC-01,9,330,2013,9,24,NA,NA,NA,1.45,NA,NA,-1.22,NA,NA,NA,NA,NA,NA,NA,24/09/2013,-1.22,NA,NA,NA
ABC-01,9,330,2013,12,10,NA,NA,NA,1.45,NA,NA,-2.1,NA,NA,NA,NA,NA,NA,NA,10/12/2013,-2.1,NA,NA,NA
ABC-01,9,330,2014,3,6,NA,NA,NA,1.45,NA,NA,-1.84,NA,NA,NA,NA,NA,NA,NA,06/03/2014,-1.84,NA,NA,NA
ABC-01,9,334,2013,9,24,NA,NA,NA,1.4,NA,NA,2.17,NA,NA,NA,NA,NA,NA,NA,24/09/2013,2.17,NA,NA,NA
ABC-01,9,334,2013,12,10,NA,NA,NA,1.4,NA,NA,3.21,NA,NA,NA,NA,NA,NA,NA,10/12/2013,3.21,NA,NA,NA
ABC-01,9,334,2014,3,6,NA,NA,NA,1.4,NA,NA,4.76,NA,NA,NA,NA,NA,NA,NA,06/03/2014,4.76,NA,NA,NA
ABC-01,9,335,2013,9,24,NA,NA,NA,1.4,NA,NA,-1.52,NA,NA,NA,NA,NA,NA,NA,24/09/2013,-1.52,NA,NA,NA
ABC-01,9,335,2013,12,10,NA,NA,NA,1.4,NA,NA,-3.49,NA,NA,NA,NA,NA,NA,NA,10/12/2013,-3.49,NA,NA,NA
ABC-01,9,335,2014,3,6,NA,NA,NA,1.4,NA,NA,-2.54,NA,NA,NA,NA,NA,NA,NA,06/03/2014,-2.54,NA,NA,NA
ABC-01,9,342,2013,9,24,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,24/09/2013,0,NA,NA,NA
ABC-01,9,342,2013,12,10,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,10/12/2013,0,NA,NA,NA
